Expiration,Days,Strike,Call Bid,Call Ask,Put Bid,Put Ask
21-Oct-22,24,800,1160.9,1164.4,0,0.1
21-Oct-22,24,900,1060.9,1064.5,0,0.1
21-Oct-22,24,1000,961,964.5,0,0.1
21-Oct-22,24,1050,911,914.5,0,0.1
21-Oct-22,24,1100,861,864.6,0,0.05
21-Oct-22,24,1125,836,839.6,0,0.05
21-Oct-22,24,1150,811,814.6,0,0.05
21-Oct-22,24,1175,786.1,789.6,0,0.05
21-Oct-22,24,1200,761.1,764.6,0,0.05
21-Oct-22,24,1220,741.1,744.6,0,0.1
21-Oct-22,24,1225,736.1,739.6,0,0.05
21-Oct-22,24,1240,721.1,724.6,0,0.1
21-Oct-22,24,1250,711.1,714.6,0,0.05
21-Oct-22,24,1260,701.1,704.6,0,0.1
21-Oct-22,24,1270,691.1,694.6,0,0.1
21-Oct-22,24,1275,686.1,689.6,0,0.1
21-Oct-22,24,1280,681.1,684.6,0,0.1
21-Oct-22,24,1290,671.1,674.7,0,0.1
21-Oct-22,24,1300,661.1,664.7,0.05,0.1
21-Oct-22,24,1305,656.1,659.7,0,0.1
21-Oct-22,24,1310,651.1,654.7,0,0.1
21-Oct-22,24,1315,646.1,649.7,0,0.1
21-Oct-22,24,1320,641.2,644.7,0,0.1
21-Oct-22,24,1325,636.2,639.7,0.05,0.1
21-Oct-22,24,1330,631.2,634.7,0,0.1
21-Oct-22,24,1335,626.2,629.7,0,0.15
21-Oct-22,24,1340,621.2,624.7,0,0.15
21-Oct-22,24,1345,616.2,619.7,0,0.15
21-Oct-22,24,1350,611.2,614.7,0.05,0.15
21-Oct-22,24,1355,606.2,609.7,0.05,0.35
21-Oct-22,24,1360,601.2,604.7,0,0.35
21-Oct-22,24,1365,596.2,599.7,0,0.35
21-Oct-22,24,1370,591.2,594.7,0.05,0.35
21-Oct-22,24,1375,586.2,589.7,0.1,0.15
21-Oct-22,24,1380,581.2,584.7,0.1,0.2
21-Oct-22,24,1385,576.2,579.7,0.1,0.35
21-Oct-22,24,1390,571.2,574.7,0.1,0.35
21-Oct-22,24,1395,566.2,569.7,0.1,0.15
21-Oct-22,24,1400,561.2,564.8,0.1,0.15
21-Oct-22,24,1405,556.2,559.8,0,0.35
21-Oct-22,24,1410,551.2,554.8,0.05,0.4
21-Oct-22,24,1415,546.2,549.8,0,0.4
21-Oct-22,24,1420,541.2,544.8,0.05,0.4
21-Oct-22,24,1425,536.3,539.8,0.15,0.2
21-Oct-22,24,1430,531.3,534.8,0.05,0.4
21-Oct-22,24,1435,526.3,529.8,0.15,0.4
21-Oct-22,24,1440,521.3,524.8,0.05,0.3
21-Oct-22,24,1445,516.3,519.8,0.05,0.4
21-Oct-22,24,1450,511.3,514.8,0.15,0.25
21-Oct-22,24,1455,506.3,509.8,0.05,0.45
21-Oct-22,24,1460,501.3,504.8,0.05,0.45
21-Oct-22,24,1465,496.3,499.8,0.05,0.45
21-Oct-22,24,1470,491.3,494.8,0.05,0.45
21-Oct-22,24,1475,486.3,489.9,0.15,0.25
21-Oct-22,24,1480,481.3,484.9,0.05,0.45
21-Oct-22,24,1485,476.3,479.9,0.2,0.5
21-Oct-22,24,1490,471.3,474.9,0.05,0.3
21-Oct-22,24,1495,466.4,469.9,0.05,0.5
21-Oct-22,24,1500,461.4,464.9,0.25,0.4
21-Oct-22,24,1505,456.4,459.9,0.3,0.35
